,ST_CASE,FATALS,PERSONS,MONTH,MAN_COLL,SP_LIMIT,LGT_COND,WEATHER,SUR_COND,STATE,DRUNK_DR,rate,rate_numerical,arrival_time
0,10001,1,1,1,0,40,2,1,1,1,0,high,1.0,5.0
1,10002,2,4,1,5,40,1,1,1,1,0,low,0.5,6.0
2,10003,1,5,1,7,55,1,1,1,1,0,low,0.2,5.0
3,10004,1,2,1,4,65,1,1,1,1,0,low,0.5,5.0
4,10005,1,5,1,5,50,3,1,1,1,0,low,0.2,6.0
5,10006,1,2,1,0,40,2,1,1,1,1,low,0.5,11.0
6,10007,1,2,1,2,55,4,1,1,1,0,low,0.5,11.0
7,10008,1,2,1,2,50,1,1,1,1,0,low,0.5,9.0
8,10009,1,7,1,4,55,5,1,1,1,0,low,0.14285714285714285,25.0
9,10010,1,2,1,2,55,1,1,1,1,0,low,0.5,20.0
10,10011,1,2,1,0,45,2,1,1,1,2,low,0.5,17.0
11,10012,1,5,1,2,70,1,1,1,1,0,low,0.2,11.0
12,10013,1,1,1,0,55,1,1,1,1,0,high,1.0,17.0
13,10014,1,1,1,0,45,1,1,1,1,0,high,1.0,9.0
14,10015,1,3,1,0,45,2,1,1,1,0,low,0.3333333333333333,10.0
15,10016,2,2,1,0,45,1,1,1,1,0,high,1.0,77.0
16,10017,1,1,1,0,40,1,1,1,1,0,high,1.0,30.0
17,10018,1,1,1,0,25,1,1,1,1,0,high,1.0,16.0
18,10019,1,2,1,4,55,2,5,1,1,0,low,0.5,7.0
19,10020,1,3,1,2,45,1,1,1,1,0,low,0.3333333333333333,31.0
20,10021,1,3,1,7,70,1,1,1,1,0,low,0.3333333333333333,25.0
21,10022,1,2,1,0,70,2,1,1,1,1,low,0.5,30.0
22,10023,1,1,1,0,45,2,1,1,1,1,high,1.0,16.0
23,10024,1,1,1,0,55,2,1,1,1,0,high,1.0,27.0
24,10025,1,2,1,0,65,2,1,1,1,1,low,0.5,20.0
25,10026,1,4,1,5,45,1,1,1,1,0,low,0.25,23.0
26,10027,1,3,1,2,55,1,2,2,1,0,low,0.3333333333333333,9.0
27,10028,1,1,1,0,70,2,2,2,1,0,high,1.0,20.0
28,10029,1,2,1,5,55,2,1,1,1,0,low,0.5,12.0
29,10030,1,5,1,5,50,2,1,1,1,0,low,0.2,10.0
30,10031,1,1,1,0,45,1,1,1,1,0,high,1.0,10.0
31,10032,1,2,1,4,55,2,1,1,1,1,low,0.5,37.0
32,10033,1,1,1,0,45,1,1,1,1,0,high,1.0,12.0
33,10034,1,1,1,0,45,2,1,1,1,0,high,1.0,15.0
34,10035,1,3,1,0,70,2,1,1,1,1,low,0.3333333333333333,15.0
35,10036,1,4,1,5,60,2,1,1,1,0,low,0.25,25.0
36,10037,1,2,1,2,55,1,1,1,1,0,low,0.5,15.0
37,10038,1,3,1,0,70,2,1,1,1,0,low,0.3333333333333333,13.0
38,10039,1,1,1,0,55,1,1,1,1,0,high,1.0,20.0
39,10040,1,1,1,0,55,2,1,1,1,0,high,1.0,22.0
40,10041,1,1,1,0,45,1,1,1,1,0,high,1.0,10.0
41,10042,1,2,1,0,45,2,1,1,1,1,low,0.5,10.0
42,10043,1,1,1,0,45,2,1,1,1,1,high,1.0,20.0
43,10044,1,4,1,0,45,2,1,1,1,0,low,0.25,15.0
44,10045,1,5,1,0,45,2,1,1,1,1,low,0.2,19.0
45,10046,1,2,2,0,50,2,5,2,1,1,low,0.5,20.0
46,10047,1,3,1,5,45,1,1,1,1,0,low,0.3333333333333333,19.0
47,10048,1,1,1,0,55,1,2,2,1,0,high,1.0,34.0
48,10049,1,2,1,0,70,2,1,1,1,0,low,0.5,27.0
49,10050,1,5,1,0,35,2,1,1,1,0,low,0.2,20.0
50,10051,1,1,2,0,55,2,2,2,1,0,high,1.0,36.0
51,10052,1,1,2,0,55,1,2,2,1,0,high,1.0,5.0
52,10053,1,2,1,4,55,1,1,1,1,0,low,0.5,16.0
53,10054,1,1,1,0,45,1,1,1,1,0,high,1.0,5.0
54,10055,1,2,2,1,70,1,1,1,1,0,low,0.5,5.0
55,10056,2,2,2,2,55,1,1,1,1,0,high,1.0,22.0
56,10057,1,4,2,2,45,3,1,1,1,0,low,0.25,24.0
57,10058,1,1,2,0,35,1,1,1,1,0,high,1.0,5.0
58,10059,2,3,2,4,65,2,1,1,1,0,high,0.6666666666666666,39.0
59,10060,1,2,2,0,70,1,1,1,1,1,low,0.5,22.0
60,10061,1,3,1,0,55,2,1,1,1,0,low,0.3333333333333333,50.0
61,10062,1,4,1,1,65,1,1,1,1,0,low,0.25,10.0
