,ST_CASE,FATALS,PERSONS,MONTH,MAN_COLL,VSPD_LIM,LGT_COND,WEATHER,VSURCOND,STATE,DRUNK_DR,rate,rate_numerical,arrival_time
0,10001,1,1,1,0,55,2,1,1,1,1,high,1.0,18.0
1,10002,1,1,1,0,70,2,10,2,1,0,high,1.0,7.0
2,10003,1,2,1,0,55,2,1,1,1,1,low,0.5,20.0
3,10004,1,1,1,0,55,2,10,1,1,1,high,1.0,42.0
4,10005,1,2,1,6,65,1,1,1,1,0,low,0.5,7.0
5,10006,1,2,1,0,45,1,1,1,1,0,low,0.5,18.0
6,10007,1,2,1,0,98,3,1,1,1,0,low,0.5,5.0
7,10008,1,1,1,0,35,2,2,2,1,0,high,1.0,18.0
8,10009,1,1,1,0,35,1,10,1,1,0,high,1.0,3.0
9,10010,1,2,1,2,45,2,1,1,1,0,low,0.5,16.0
10,10011,1,2,1,7,60,2,1,1,1,0,low,0.5,25.0
11,10012,1,6,1,6,50,1,1,1,1,0,low,0.16666666666666666,6.0
12,10013,1,1,1,0,45,1,1,1,1,1,high,1.0,16.0
13,10014,1,1,1,0,55,1,10,1,1,1,high,1.0,25.0
14,10015,1,1,1,0,45,1,1,1,1,0,high,1.0,10.0
15,10016,1,2,1,6,45,3,10,1,1,0,low,0.5,10.0
16,10017,1,1,1,0,45,1,10,1,1,0,high,1.0,20.0
17,10018,1,2,1,0,40,2,1,1,1,1,low,0.5,8.0
18,10019,1,1,1,0,30,2,1,1,1,0,high,1.0,17.0
19,10020,1,3,1,6,45,2,2,2,1,0,low,0.3333333333333333,15.0
20,10021,1,4,1,1,70,1,2,2,1,0,low,0.25,5.0
21,10022,1,2,1,0,70,2,1,1,1,0,low,0.5,25.0
22,10023,1,1,1,0,55,2,5,2,1,1,high,1.0,9.0
23,10024,1,1,1,0,45,4,1,1,1,0,high,1.0,5.0
24,10025,2,2,1,0,45,2,1,1,1,1,high,1.0,9.0
25,10026,1,1,1,0,45,1,10,1,1,0,high,1.0,12.0
26,10027,1,3,1,6,45,1,1,1,1,0,low,0.3333333333333333,20.0
27,10028,1,1,1,0,55,2,1,1,1,1,high,1.0,13.0
28,10029,1,1,1,0,65,2,2,2,1,0,high,1.0,10.0
29,10030,5,5,1,2,55,1,1,1,1,0,high,1.0,6.0
30,10031,1,1,1,0,45,5,1,1,1,0,high,1.0,9.0
31,10032,1,1,1,0,40,4,1,1,1,1,high,1.0,5.0
32,10033,2,2,1,0,45,3,2,2,1,1,high,1.0,16.0
33,10034,1,10,1,1,45,1,10,2,1,1,low,0.1,19.0
34,10035,1,2,1,6,55,1,1,1,1,0,low,0.5,5.0
35,10036,2,5,1,6,55,1,1,1,1,0,low,0.4,5.0
36,10037,1,1,1,0,35,1,1,1,1,0,high,1.0,4.0
37,10038,1,1,1,0,25,1,1,1,1,0,high,1.0,20.0
38,10039,1,1,1,0,45,2,1,1,1,1,high,1.0,20.0
39,10040,1,1,1,0,30,1,1,1,1,0,high,1.0,4.0
40,10041,1,1,1,0,45,2,1,1,1,1,high,1.0,17.0
41,10042,1,2,1,0,65,2,1,1,1,0,low,0.5,9.0
42,10043,1,1,2,0,45,2,10,2,1,0,high,1.0,4.0
43,10044,1,2,1,0,70,3,1,1,1,0,low,0.5,20.0
44,10045,1,1,1,0,65,1,1,1,1,0,high,1.0,17.0
45,10046,1,1,2,0,70,6,1,1,1,0,high,1.0,21.0
46,10047,1,2,1,0,30,2,1,1,1,1,low,0.5,11.0
47,10048,2,4,1,0,55,2,1,1,1,0,low,0.5,16.0
48,10049,1,2,1,6,25,6,1,1,1,0,low,0.5,11.0
49,10050,1,1,1,0,45,2,1,1,1,0,high,1.0,13.0
50,10051,1,5,2,6,45,1,2,2,1,0,low,0.2,10.0
51,10052,1,1,2,0,55,2,2,2,1,0,high,1.0,8.0
52,10053,1,3,2,0,55,2,2,2,1,0,low,0.3333333333333333,6.0
53,10054,1,2,2,1,65,5,1,1,1,0,low,0.5,13.0
54,10055,1,1,2,0,50,2,1,1,1,0,high,1.0,46.0
55,10056,1,1,2,0,55,2,1,1,1,1,high,1.0,15.0
56,10057,1,3,2,1,65,2,1,1,1,0,low,0.3333333333333333,6.0
57,10058,1,3,2,0,0,1,1,0,1,0,low,0.3333333333333333,38.0
58,10059,1,1,2,0,65,2,1,1,1,0,high,1.0,7.0
59,10060,1,7,2,6,55,2,10,1,1,0,low,0.14285714285714285,4.0
60,10061,1,3,2,0,55,2,1,1,1,1,low,0.3333333333333333,13.0
61,10062,1,1,2,0,60,1,1,1,1,0,high,1.0,33.0
62,10063,1,3,2,0,65,2,1,1,1,1,low,0.3333333333333333,12.0
63,10064,1,1,2,0,65,2,1,1,1,0,high,1.0,6.0
64,10065,1,2,1,1,55,1,1,1,1,0,low,0.5,20.0
65,10066,1,2,2,0,55,3,10,1,1,1,low,0.5,15.0
66,10067,1,8,2,2,55,1,1,1,1,0,low,0.125,10.0
67,10068,1,1,2,0,45,2,1,1,1,0,high,1.0,8.0
68,10069,1,2,2,0,35,3,1,1,1,1,low,0.5,11.0
69,10070,1,1,2,0,45,2,2,2,1,1,high,1.0,15.0
70,10071,1,4,2,2,45,6,3,4,1,0,low,0.25,25.0
71,10072,1,1,2,0,50,3,1,1,1,0,high,1.0,8.0
72,10073,1,1,2,0,50,2,1,1,1,0,high,1.0,7.0
73,10074,1,4,2,0,60,3,1,1,1,0,low,0.25,56.0
74,10075,1,4,2,8,55,2,1,1,1,1,low,0.25,5.0
75,10076,1,1,2,0,55,1,1,1,1,0,high,1.0,8.0
76,10077,1,1,2,0,45,2,10,1,1,0,high,1.0,3.0
77,10078,1,1,2,0,50,1,10,1,1,0,high,1.0,5.0
78,10079,1,2,3,0,70,2,1,1,1,1,low,0.5,6.0
79,10080,1,1,2,0,40,1,1,1,1,1,high,1.0,10.0
80,10081,1,4,2,1,55,1,4,10,1,1,low,0.25,9.0
81,10082,1,1,2,0,55,2,1,1,1,0,high,1.0,7.0
82,10083,4,4,3,6,35,3,1,1,1,2,high,1.0,35.0
83,10084,1,3,3,1,55,1,1,1,1,1,low,0.3333333333333333,4.0
84,10085,1,1,3,0,65,1,1,1,1,1,high,1.0,5.0
85,10086,1,4,3,6,55,3,2,2,1,1,low,0.25,10.0
86,10087,2,2,3,0,55,1,2,2,1,0,high,1.0,9.0
87,10088,1,1,3,0,65,2,2,2,1,0,high,1.0,9.0
88,10089,1,1,3,0,45,2,1,1,1,1,high,1.0,21.0
89,10090,1,2,3,0,30,3,10,2,1,0,low,0.5,39.0
90,10091,1,4,3,6,98,1,1,1,1,0,low,0.25,11.0
91,10092,1,3,3,0,45,2,1,1,1,0,low,0.3333333333333333,5.0
92,10093,2,3,3,6,70,3,2,2,1,0,high,0.6666666666666666,6.0
93,10094,1,1,3,0,70,2,1,1,1,0,high,1.0,15.0
94,10095,3,15,3,1,70,1,5,1,1,0,low,0.2,12.0
95,10096,1,1,3,0,45,1,1,1,1,1,high,1.0,115.0
96,10097,2,2,2,2,35,1,10,1,1,0,high,1.0,6.0
97,10098,1,1,2,0,40,3,10,2,1,0,high,1.0,27.0
98,10099,1,1,3,0,35,1,10,2,1,0,high,1.0,17.0
99,10101,1,2,3,0,45,2,1,1,1,1,low,0.5,34.0
100,10102,1,1,3,0,60,3,2,2,1,1,high,1.0,10.0
101,10103,1,2,2,0,35,2,1,1,1,1,low,0.5,14.0
102,10104,2,3,3,2,55,1,10,1,1,0,high,0.6666666666666666,31.0
103,10105,1,2,3,0,55,2,1,4,1,1,low,0.5,15.0
104,10106,1,1,3,0,55,2,2,2,1,1,high,1.0,16.0
105,10107,1,2,3,6,40,2,2,2,1,1,low,0.5,28.0
106,10108,1,3,3,2,55,2,2,2,1,0,low,0.3333333333333333,18.0
107,10109,1,3,3,2,55,1,5,1,1,0,low,0.3333333333333333,20.0
108,10110,1,1,3,0,55,1,10,1,1,0,high,1.0,12.0
109,10111,1,2,3,0,35,2,1,1,1,1,low,0.5,15.0
110,10112,1,1,3,0,55,2,1,1,1,0,high,1.0,5.0
111,10113,1,2,4,0,70,2,1,1,1,0,low,0.5,15.0
112,10114,1,2,4,1,70,2,1,1,1,1,low,0.5,5.0
113,10115,1,1,3,0,70,2,10,1,1,0,high,1.0,12.0
114,10116,1,3,3,1,70,2,1,1,1,0,low,0.3333333333333333,5.0
115,10117,1,5,3,1,70,2,10,2,1,0,low,0.2,13.0
116,10118,1,2,3,0,45,3,1,1,1,1,low,0.5,17.0
117,10119,1,2,3,2,65,2,10,2,1,0,low,0.5,26.0
118,10120,1,2,3,6,45,1,10,2,1,0,low,0.5,1.0
119,10121,1,3,3,1,55,1,1,1,1,0,low,0.3333333333333333,7.0
120,10122,1,1,3,0,30,1,10,1,1,0,high,1.0,7.0
121,10123,1,3,3,6,45,1,1,1,1,0,low,0.3333333333333333,28.0
122,10124,1,1,3,0,45,1,1,1,1,0,high,1.0,11.0
123,10125,2,4,3,0,45,1,1,1,1,0,low,0.5,13.0
124,10126,1,2,3,2,55,1,1,1,1,0,low,0.5,15.0
125,10127,2,5,3,6,45,6,10,1,1,0,low,0.4,12.0
126,10128,1,1,3,0,35,2,1,1,1,0,high,1.0,2.0
127,10129,1,3,3,6,45,1,1,1,1,0,low,0.3333333333333333,10.0
128,10130,1,3,3,2,40,1,10,1,1,0,low,0.3333333333333333,3.0
129,10131,1,2,3,0,45,2,1,1,1,0,low,0.5,3.0
130,10132,1,3,3,6,35,3,1,1,1,0,low,0.3333333333333333,62.0
131,10133,1,2,3,6,0,1,10,0,1,0,low,0.5,6.0
