LGT_COND,WEATHER,SUR_COND,MAN_COLL,SP_LIMIT,rate
2,1,1,0,40,high
1,1,1,5,40,low
1,1,1,7,55,low
1,1,1,4,65,low
3,1,1,5,50,low
2,1,1,0,40,low
4,1,1,2,55,low
1,1,1,2,50,low
5,1,1,4,55,low
1,1,1,2,55,low
2,1,1,0,45,low
1,1,1,2,70,low
1,1,1,0,55,high
1,1,1,0,45,high
2,1,1,0,45,low
1,1,1,0,45,high
1,1,1,0,40,high
1,1,1,0,25,high
2,5,1,4,55,low
1,1,1,2,45,low
1,1,1,7,70,low
2,1,1,0,70,low
2,1,1,0,45,high
2,1,1,0,55,high
2,1,1,0,65,low
1,1,1,5,45,low
1,2,2,2,55,low
2,2,2,0,70,high
2,1,1,5,55,low
2,1,1,5,50,low
1,1,1,0,45,high
2,1,1,4,55,low
1,1,1,0,45,high
2,1,1,0,45,high
2,1,1,0,70,low
2,1,1,5,60,low
1,1,1,2,55,low
2,1,1,0,70,low
1,1,1,0,55,high
2,1,1,0,55,high
1,1,1,0,45,high
2,1,1,0,45,low
2,1,1,0,45,high
2,1,1,0,45,low
2,1,1,0,45,low
2,5,2,0,50,low
1,1,1,5,45,low
1,2,2,0,55,high
2,1,1,0,70,low
2,1,1,0,35,low
2,2,2,0,55,high
1,2,2,0,55,high
1,1,1,4,55,low
1,1,1,0,45,high
1,1,1,1,70,low
1,1,1,2,55,high
3,1,1,2,45,low
1,1,1,0,35,high
2,1,1,4,65,high
1,1,1,0,70,low
2,1,1,0,55,low
1,1,1,1,65,low
2,1,1,0,55,low
2,1,1,4,55,high
2,1,1,0,65,high
1,1,1,8,35,low
2,1,1,0,35,low
1,1,2,0,40,high
2,1,1,0,55,high
4,1,1,0,45,low
1,1,1,0,55,low
1,1,1,0,45,low
1,1,1,0,70,low
3,1,1,0,65,high
1,1,1,0,25,low
2,1,1,0,70,high
3,1,2,0,40,low
1,1,1,0,40,high
1,1,1,0,35,high
2,1,1,0,45,high
2,1,1,2,55,low
1,1,1,0,65,high
1,1,1,2,45,low
4,1,1,0,45,low
1,1,1,0,55,high
1,2,2,5,55,low
2,1,1,0,45,high
1,1,1,1,70,low
1,1,1,0,55,high
1,1,1,2,55,low
2,1,1,0,45,high
1,1,1,0,55,low
1,1,1,0,45,high
2,1,1,0,70,high
1,1,2,1,45,low
2,1,1,0,55,high
1,1,1,0,55,high
2,1,1,0,45,low
2,1,1,0,25,high
4,1,1,0,35,high
1,1,1,0,45,high
1,1,1,5,40,low
2,1,1,0,45,high
1,2,2,2,55,high
1,1,1,0,45,high
2,1,1,0,70,high
1,1,1,1,55,low
5,1,2,1,70,low
1,1,1,0,25,high
2,5,1,0,35,high
2,1,1,0,40,high
2,1,1,0,45,low
4,1,1,0,35,low
3,2,2,0,45,high
3,1,1,0,35,high
2,2,2,0,60,high
3,1,1,0,40,low
1,1,1,0,65,high
1,1,1,0,65,high
3,1,1,0,35,low
2,1,1,3,70,low
3,1,1,0,35,high
1,1,1,5,50,low
1,1,1,0,25,low
2,1,1,0,25,low
3,1,1,6,60,low
1,1,1,0,45,high
1,1,1,0,30,low
1,1,1,5,50,low
2,1,1,0,55,low
1,1,1,5,40,low
1,1,1,0,45,high
1,1,1,5,35,low
3,1,1,0,60,high
2,1,1,5,45,low
2,1,1,0,45,high
2,1,1,7,45,low
1,1,1,0,70,low
1,1,1,5,45,low
2,1,1,0,35,low
3,1,1,0,45,low
3,1,1,0,30,low
3,1,1,0,35,low
1,1,1,2,30,low
1,1,1,5,65,low
2,2,2,0,45,high
2,1,1,2,40,low
1,1,1,5,65,low
1,1,1,5,40,low
2,1,1,0,35,low
1,1,1,0,65,low
2,1,1,0,55,high
3,1,1,0,35,low
2,1,1,0,55,low
1,1,1,1,70,low
1,1,1,1,70,high
3,1,1,0,45,low
2,1,1,0,35,low
2,1,1,0,55,high
2,1,1,0,55,high
2,1,1,0,55,high
1,1,1,4,55,low
1,1,1,5,50,low
2,1,1,0,55,high
1,1,1,0,65,low
2,2,2,2,55,low
1,1,2,0,65,low
3,1,1,5,65,low
3,1,1,0,40,high
3,1,1,5,35,low
2,1,1,0,30,low
1,1,1,5,40,low
2,1,1,0,55,low
1,1,1,0,55,high
1,1,1,5,65,high
1,1,1,5,70,low
2,1,1,0,35,low
2,1,1,4,55,low
2,1,1,0,55,high
2,1,1,0,55,high
2,1,1,0,70,high
1,1,1,5,65,low
1,1,1,2,55,low
1,1,2,4,55,low
1,2,2,5,55,low
1,1,1,0,45,high
2,1,1,0,55,high
2,1,1,9,40,low
1,1,1,2,35,low
1,1,1,0,55,high
2,1,1,2,55,low
5,1,1,5,55,low
1,1,1,0,40,high
2,1,1,0,45,high
1,1,1,2,55,low
2,1,1,0,45,low
1,1,1,2,55,high
1,1,1,2,45,low
2,1,1,0,55,high
1,1,1,8,55,low
2,1,1,0,45,high
1,1,1,0,25,low
1,1,1,0,45,low
4,1,1,2,55,low
1,1,1,5,70,low
2,1,1,2,45,low
1,1,1,0,55,high
2,1,1,0,55,high
1,1,1,0,55,high
2,1,1,2,40,low
1,1,1,0,45,high
1,1,2,5,70,low
1,1,1,0,45,high
2,1,1,0,45,high
2,1,1,0,55,low
2,1,1,0,45,low
2,1,2,5,55,low
2,1,1,0,45,low
2,2,2,0,65,high
1,1,1,0,45,high
1,1,1,5,45,low
1,2,2,5,60,low
1,1,1,0,40,high
1,1,1,0,55,high
1,2,2,0,55,high
4,1,1,0,45,low
1,1,1,5,70,low
1,1,1,1,55,low
2,1,1,0,55,high
2,1,1,5,55,low
2,1,1,0,55,low
1,1,1,0,55,high
2,1,1,0,70,low
2,1,1,0,45,high
1,1,1,0,70,low
1,1,1,0,45,high
2,1,1,0,30,low
2,1,1,0,35,high
1,1,1,5,45,low
2,1,1,1,70,high
2,1,1,2,55,low
1,2,2,1,55,low
2,1,1,0,45,high
2,2,2,1,70,low
2,1,1,0,45,low
2,1,1,0,35,high
1,1,1,4,55,low
1,1,1,0,60,high
1,1,1,7,55,low
1,1,1,5,40,low
2,1,1,1,70,low
1,1,1,1,55,low
1,1,1,8,45,low
2,1,1,0,55,low
1,1,1,0,50,high
2,1,1,5,55,low
1,1,1,2,55,low
1,1,1,5,45,low
2,1,1,0,45,low
1,1,1,0,55,high
2,1,1,0,35,high
1,1,1,5,55,low
2,1,1,2,55,low
2,1,1,0,45,low
1,1,1,2,55,low
2,1,1,0,45,high
1,1,1,0,55,high
2,1,1,0,70,low
1,1,1,0,40,high
1,1,1,0,70,low
1,1,1,0,70,low
1,1,1,5,45,low
1,1,1,1,65,low
5,1,1,2,35,low
1,1,1,5,40,low
1,1,1,1,55,low
1,1,1,0,45,low
1,1,1,0,35,high
2,1,1,0,30,low
2,1,1,0,45,high
1,1,1,5,55,low
1,1,1,0,25,low
1,1,1,2,45,low
1,1,1,0,45,low
2,1,1,0,25,low
2,1,1,0,70,high
2,2,2,0,40,low
2,1,1,1,65,low
1,1,1,0,65,low
1,1,1,0,45,low
2,1,1,0,35,high
3,1,1,0,25,high
1,1,1,0,55,high
1,1,2,0,45,high
1,1,1,2,55,low
2,1,1,0,55,high
3,1,1,0,35,low
1,1,1,0,70,low
1,1,1,1,55,low
1,1,1,0,45,high
1,1,1,0,45,low
5,1,1,5,50,low
1,1,1,2,50,low
1,1,1,0,45,high
1,1,1,5,50,low
2,1,1,0,55,high
1,1,1,0,25,high
1,1,1,0,45,high
1,1,1,5,40,low
